"chr"	"start"	"end"	"width"	"strand"	"Length"	"ensemblID"	"EntrezID"	"Symbol"	"meanExprs"	"logFC"	"t"	"P.Value"	"adj.P.Val"	"gene_description"	"associated_phenotypes"
"2"	193185275	193200642	15368	"+"	3671	"ENSRNOG00000015691"	"310764"	"Inka2"	17.8971510820223	0.627340243648433	10.3449074182667	3.06010015810587e-08	0.00051128153441633	"inka box actin regulator 2 [Source:RGD Symbol;Acc:1306526]"	"genetic disease"
"8"	121153500	121160084	6585	"-"	844	"ENSRNOG00000019321"	"25298"	"Cck"	74.019736882005	1.12313205839823	8.91971317866968	2.12363186375901e-07	0.00118272137265619	"cholecystokinin [Source:RGD Symbol;Acc:2288]"	"Experimental Diabetes Mellitus; Inflammation; Hyperkinesis; Catalepsy; Hyperalgesia; Anorexia; Fever; Bulimia; Gallstones; morbid obesity; congenital muscular dystrophy-dystroglycanopathy type A8; Drug-Induced Dyskinesia; Unconsciousness; cataract; liver disease; Metabolic Syndrome; toxic encephalopathy; Pain; Neurobehavioral Manifestations; pancreatitis; Hallucinations; genetic disease; gastrointestinal system disease; gastric ulcer; Parkinson's disease"
"7"	85900453	85933429	32977	"+"	2776	"ENSRNOG00000008615"	"362911"	"Mal2"	42.0404458036755	0.686532134306556	9.06290744545776	1.73100430915115e-07	0.00118272137265619	"mal, T-cell differentiation protein 2 [Source:RGD Symbol;Acc:735066]"	"hereditary multiple exostoses; trichorhinophalangeal syndrome type I; genetic disease"
"3"	9070185	9126946	56762	"-"	9065	"ENSRNOG00000027392"	"499759"	"Ccdc187"	2.4728255769421	-1.01200506177472	-8.3412775793731	4.96741586443151e-07	0.00118565120375602	"coiled-coil domain containing 187 [Source:RGD Symbol;Acc:1565512]"	""
"4"	89696420	89796262	99843	"-"	2225	"ENSRNOG00000008656"	"29219"	"Snca"	69.5974424556722	0.606986157115195	8.40083265925992	4.54300712558697e-07	0.00118565120375602	"synuclein alpha [Source:RGD Symbol;Acc:3729]"	"Parkinson's disease 1; Bipolar Disorder; Alzheimer's Disease; genetic disease; Wilson disease; Animal Disease Models; autosomal dominant polycystic kidney disease; Multiple System Atrophy; GM2 gangliosidosis; alcohol use disorder; Neurobehavioral Manifestations; Creutzfeldt-Jakob disease; Manganese Poisoning; depressive disorder; secondary Parkinson disease; Pantothenate Kinase-Associated Neurodegeneration; Schizophrenia; Ataxia; vascular dementia; Brain Injuries; Cocaine-Related Disorders; Neurilemmoma; decreased susceptibility to neuronal excitotoxicity; Nerve Degeneration; congestive heart failure; amphetamine abuse; Gaucher's disease; substance-induced psychosis; Parkinsonism; Parkinson's disease 4; neurodegenerative disease; Pick's disease; Synucleinopathy; Parkinson's disease; myeloid leukemia; Weight Loss; Animal Lameness; Lewy body dementia; drinking behavior trait; drinking behavior trait"
"5"	154160946	154176980	16035	"-"	2107	"ENSRNOG00000013783"	"298609"	"Efhd2"	44.6533895693621	0.537427719011917	8.6358183194012	3.20692629784133e-07	0.00118565120375602	"EF-hand domain family, member D2 [Source:RGD Symbol;Acc:1307585]"	"chromosome 1p36 deletion syndrome; Binge Drinking; genetic disease"
"18"	39462765	39531622	68858	"+"	2680	"ENSRNOG00000003829"	"302290"	"Ap3s1"	21.5622227922615	0.479626392663106	8.34430600989487	4.94485651837268e-07	0.00118565120375602	"adaptor related protein complex 3 subunit sigma 1 [Source:RGD Symbol;Acc:1311115]"	"Neurodevelopmental Disorders; Autistic Disorder; Hereditary Neoplastic Syndromes; genetic disease; familial adenomatous polyposis 1; Experimental Liver Cirrhosis"
"17"	21500979	21504665	3687	"+"	3687	"ENSRNOG00000068332"	"NULL"	NA	26.7742925055602	0.745517739659847	8.22463945225683	5.92424555091657e-07	0.00123727868330892	NA	""
"7"	34092943	34097185	4243	"+"	2767	"ENSRNOG00000023896"	"116663"	"Dusp6"	8.325171895078	0.732945132611857	7.77892760007603	1.17944345862589e-06	0.00130488988958961	"dual specificity phosphatase 6 [Source:RGD Symbol;Acc:70978]"	"Carcinoma; Hypogonadotropic Hypogonadism 19 with or without Anosmia; Animal Mammary Neoplasms; Pain, Postoperative; pancreatitis; Myocardial Ischemia; Hyperalgesia; Experimental Liver Cirrhosis; hypogonadotropic hypogonadism 7 with or without anosmia; Brain Ischemia; breast cancer; Leishmaniasis; glioblastoma; Experimental Mammary Neoplasms; genetic disease; visual epilepsy"
"7"	114944764	115011787	67024	"+"	3189	"ENSRNOG00000010834"	"362971"	"Mpped1"	21.6202143376747	0.72941719470537	7.7587242777512	1.21755541998078e-06	0.00130488988958961	"metallophosphoesterase domain containing 1 [Source:RGD Symbol;Acc:1308244]"	"Phelan-McDermid syndrome; Intellectual Disability; genetic disease"
"13"	43307775	43313417	5643	"+"	1750	"ENSRNOG00000049641"	"171122"	"Rab29"	7.38489437836578	0.642076534299156	7.86368018965075	1.03272035667028e-06	0.00130488988958961	"RAB29, member RAS oncogene family [Source:RGD Symbol;Acc:620892]"	"Familial Adult Myoclonic Epilepsy, 5; Autistic Disorder; Hypokalemic Periodic Paralysis, Type 1; gastrointestinal stromal tumor; parathyroid carcinoma; genetic disease"
