"chr"	"start"	"end"	"width"	"strand"	"Length"	"ensemblID"	"EntrezID"	"Symbol"	"meanExprs"	"logFC"	"t"	"P.Value"	"adj.P.Val"	"gene_description"	"associated_phenotypes"
"2"	44940080	45008284	68205	"+"	9261	"ENSRNOG00000039582"	"294747"	"Cspg4b"	1.43076630667719	-1.02633409410044	-6.99495505194851	2.70658172176828e-06	0.0118406139004055	"chondroitin sulfate proteoglycan 4B [Source:RGD Symbol;Acc:1561161]"	""
"6"	109665523	109679809	14287	"-"	6300	"ENSRNOG00000062383"	"65162"	"Dio2"	6.34017668259046	0.965712020048558	7.35675407945015	1.43376130368839e-06	0.0118406139004055	"iodothyronine deiodinase 2 [Source:RGD Symbol;Acc:68418]"	"genetic disease; Autism Spectrum Disorder; Insulin Resistance; Metabolic Syndrome; thyroid gland disease; Endometriosis; Mesothelioma; type 2 diabetes mellitus; hypertension; obesity; blood thyroid-stimulating hormone amount"
"4"	46800981	46964631	163651	"-"	5975	"ENSRNOG00000061845"	"282587"	"Cttnbp2"	42.880924441719	0.724876668194671	6.86188059165454	3.43441653196222e-06	0.0118406139004055	"cortactin binding protein 2 [Source:RGD Symbol;Acc:628691]"	"genetic disease; Pleomorphic Xanthoastrocytoma; Myocardial Ischemia; prostate cancer; Autism Spectrum Disorder"
"2"	68628780	68850995	222216	"+"	3169	"ENSRNOG00000009771"	"29181"	"Cdh10"	17.4641869611814	0.456783723328023	6.84452502944511	3.54339654668588e-06	0.0118406139004055	"cadherin 10 [Source:RGD Symbol;Acc:619741]"	"lung cancer; genetic disease; Autistic Disorder; Autism Spectrum Disorder; Neurodevelopmental Disorders"
"7"	111836012	111944688	108677	"+"	6976	"ENSRNOG00000060407"	"56827"	"Cacna1i"	21.8086893309055	0.443997296485317	7.50322221930379	1.1141210822515e-06	0.0118406139004055	"calcium voltage-gated channel subunit alpha1 I [Source:RGD Symbol;Acc:68944]"	"genetic disease; Sciatic Neuropathy; adenylosuccinase lyase deficiency; withdrawal disorder; Hydrocephalus; Schizophrenia; ventriculomegaly; Developmental Disabilities; Neurodevelopmental Disorder with Speech Impairment and with or without Seizures; Hyperalgesia"
"3"	39945351	40109124	163774	"+"	3620	"ENSRNOG00000005369"	"50599"	"Kcnj3"	22.1296928824918	0.621340165840901	6.40807842264232	7.87894713637504e-06	0.0131073795840166	"potassium inwardly-rectifying channel, subfamily J, member 3 [Source:RGD Symbol;Acc:2958]"	"genetic disease; Autism Spectrum Disorder; heart pumping trait"
"1"	201321672	201340226	18555	"-"	833	"ENSRNOG00000018237"	"24426"	"Gstp1"	57.823133256209	-0.550812244032726	-6.42445716126061	7.64257854438935e-06	0.0131073795840166	"glutathione S-transferase pi 1 [Source:RGD Symbol;Acc:2758]"	"Necrosis; psoriasis; late onset Parkinson's disease; Myocardial Ischemia; Multiple Sclerosis; squamous cell carcinoma; atopic dermatitis; Chemotherapy-Induced Febrile Neutropenia; allergic disease; Non-alcoholic Fatty Liver Disease; prostate carcinoma in situ; asthma; vestibular disease; respiratory system disease; Intellectual Disability; Prostatic Neoplasms; Disease Progression; mitochondrial metabolism disease; bronchiolo-alveolar adenocarcinoma; kidney disease; Autism Spectrum Disorder; amphetamine abuse; Chromosome Aberrations; acute myeloid leukemia; Kidney Calculi; lung disease; perennial allergic rhinitis; Carcinoma; colorectal adenoma; malignant astrocytoma; prostate cancer; Experimental Liver Neoplasms; Airway Obstruction; ovarian cancer; genetic disease; Pseudomonas Infections; Plasmodium falciparum malaria; Pre-Eclampsia; hepatocellular carcinoma; bone marrow disease; carotid artery disease; Kuhnt-Junius degeneration; Experimental Seizures; pancreatic cancer; amyotrophic lateral sclerosis; Oral Squamous Cell Carcinoma; Colorectal Neoplasms; Laryngeal Neoplasms; chronic myeloid leukemia; Multiple Myeloma; Hodgkin's lymphoma; substance-induced psychosis; bronchus carcinoma; Essential Tremor; Senile Cataract; Acute Coronary Syndrome; sarcoma; Autistic Disorder; hypertension; liver disease; urinary bladder cancer; Peritonitis; breast cancer; Drug-induced Neutropenia; Cystic Fibrosis; Pulmonary Emphysema; Gallbladder Neoplasms; peripheral nervous system disease; drug allergy; esophagus squamous cell carcinoma; prostatic hypertrophy; acute kidney failure; Aicardi-Goutieres Syndrome 3; renal cell carcinoma; pre-malignant neoplasm; Alzheimer's Disease; Ureteral Calculi; myelodysplastic syndrome; high grade glioma; Cholangiocarcinoma; myeloid leukemia; acute lymphoblastic leukemia; Osteoporosis; Reperfusion Injury; Parkinson's disease; lung non-small cell carcinoma; Cough; Cholangiofibrosis; Lung Neoplasms; Conjunctivochalasis; Cholestasis; Bronchopulmonary Dysplasia; clear cell renal cell carcinoma; Graves Disease; contact dermatitis; Meningitis; Respiratory Sounds; type 2 diabetes mellitus; Drug-induced leukopenia; Osteosarcoma; movement disease; Chemical and Drug Induced Liver Injury; chronic obstructive pulmonary disease; toxic encephalopathy; Chronic Cerebral Hypoperfusion; Breast Neoplasms; hematopoietic system disease; pancreatic ductal carcinoma; Stomach Neoplasms; testicular cancer; diffuse large B-cell lymphoma; Pulmonary Fibrosis; melanoma; lymphoid leukemia; Focal Nodular Hyperplasia; Recurrent Infections, with Encephalopathy, Hepatic Dysfunction, and Cardiovascular Malformations; liver integrity trait"
"16"	79518312	79527040	8729	"+"	8711	"ENSRNOG00000014605"	"290907"	"Lig4"	8.09497670587639	0.499514280651985	6.3940328345658	8.08769533150546e-06	0.0131073795840166	"DNA ligase 4 [Source:RGD Symbol;Acc:1304639]"	"genetic disease; severe combined immunodeficiency; high grade glioma; Anal Atresia, Hypospadias, and Penoscrotal Inversion; pancreatic cancer; thyroid gland papillary carcinoma; prostate cancer; Multiple Myeloma; Severe Combined Immunodeficiency with Sensitivity to Ionizing Radiation; DNA ligase IV deficiency; colorectal cancer"
"10"	104656883	104757918	101036	"+"	19467	"ENSRNOG00000029658"	"303735"	"Rnf213"	3.43874270251362	-0.366524170123578	-6.3592683030654	8.62946944123672e-06	0.0131073795840166	"ring finger protein 213 [Source:RGD Symbol;Acc:1308168]"	"Stroke; Aortic Coarctation; anaplastic ependymoma; Epilepsy; genetic disease; Pityriasis Rubra Pilaris; mucopolysaccharidosis type IIIA; Moyamoya Disease; Moyamoya Disease 2; patent foramen ovale"
"6"	129702383	129707268	4886	"-"	2657	"ENSRNOG00000059714"	"299331"	"Hsp90aa1"	352.058394275967	0.351827954044406	6.51740052347968	6.43392680056182e-06	0.0131073795840166	"heat shock protein 90 alpha family class A member 1 [Source:RGD Symbol;Acc:631409]"	"Experimental Diabetes Mellitus; Breast Neoplasms; Frontotemporal Lobar Degeneration; Knee Osteoarthritis; Neurodevelopmental Disorders; Cognitive Dysfunction; anaplastic large cell lymphoma; Charcot-Marie-Tooth disease axonal type 2O; contact dermatitis; human immunodeficiency virus infectious disease; Ductal Carcinoma; Neoplasm Metastasis; intrahepatic cholangiocarcinoma; colon cancer; Alzheimer's Disease; rheumatoid arthritis; portal hypertension; genetic disease"
