"","seqnames","start","end","width","strand","Length","ensemblID","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B","associated_phenotypes","gene_description"
"ENSRNOG00000021478","1",26172170,26291109,118940,"+",1884,"ENSRNOG00000021478","Tpd52l1","689256",15.6671839549257,-0.808172934527381,4.36424037143444,-5.5638549743988,5.0965019671303e-05,0.0381988711659011,2.17490024219661,"Prostatic Neoplasms","TPD52 like 1 [Source:RGD Symbol;Acc:1594796]"
"ENSRNOG00000014448","1",167331633,167430231,98599,"+",3252,"ENSRNOG00000014448","Arntl","29657",10.9055476128511,-0.45678752576451,4.84609605696738,-4.98675910778574,0.00015468161437806,0.0429913335849504,1.06651152845674,"Myocardial Ischemia; chronic myeloid leukemia; Diabetes Mellitus; Brain Hypoxia-Ischemia; Intellectual Disability; Experimental Diabetes Mellitus; Hyperargininemia; Multiple Abnormalities; Female Infertility; Cholestasis; primary ovarian insufficiency; Premature Aging","aryl hydrocarbon receptor nuclear translocator-like [Source:RGD Symbol;Acc:62003]"
"ENSRNOG00000021017","1",96170080,96175191,5112,"+",1322,"ENSRNOG00000021017","Ca11","308588",67.7316156419737,-0.553900378934622,6.35299680637575,-5.00897326135619,0.000148096854337605,0.0429913335849504,0.975574795173755,"developmental and epileptic encephalopathy 12","carbonic anhydrase 11 [Source:RGD Symbol;Acc:735155]"
"ENSRNOG00000018524","1",46967658,47011505,43848,"-",7090,"ENSRNOG00000018524","Ezr","54319",11.2744829448929,0.735565243336172,5.7568665221637,4.99090026611166,0.000153431581450249,0.0429913335849504,0.98273267889637,"Osteoarthritis; Animal Mammary Neoplasms; primary ciliary dyskinesia 32; Neoplasm Metastasis; Prostatic Neoplasms; Experimental Liver Cirrhosis; Experimental Mammary Neoplasms; Carcinoma","ezrin [Source:RGD Symbol;Acc:621161]"
"ENSRNOG00000020533","1",185497735,185547379,49645,"+",2545,"ENSRNOG00000020533","Htra1","65164",24.0686185838475,-0.613451075383003,5.68155817675816,-5.78641212045133,3.36010266729901e-05,0.0323232823079241,2.50531183818369,"Geographic Atrophy; lung non-small cell carcinoma; hypertension; patterned macular dystrophy; ovary epithelial cancer; CADASIL; CADASIL 2; Macular Degeneration; Kuhnt-Junius degeneration; hepatocellular carcinoma; ulcerative colitis; colon cancer; vitelliform macular dystrophy; age related macular degeneration 7; vascular dementia; Cerebral Autosomal Recessive Arteriopathy with Subcortical Infarcts and Leukoencephalopathy; age related macular degeneration; colorectal cancer; Choroidal Neovascularization; malignant mesothelioma; Polypoidal Choroidal Vasculopathy; Epilepsy; Cognitive Dysfunction; Lung Neoplasms; stomach cancer; lung adenocarcinoma; esophagus squamous cell carcinoma; esophageal carcinoma; Diabetes Mellitus","HtrA serine peptidase 1 [Source:RGD Symbol;Acc:69235]"
"ENSRNOG00000017198","1",77722471,77749758,27288,"-",2229,"ENSRNOG00000017198","Hif3a","64345",2.65971319606554,-1.24058653206338,2.95366077844193,-5.36472899344288,7.43979696102152e-05,0.0381988711659011,1.77340067476453,"pulmonary hypertension","hypoxia inducible factor 3 subunit alpha [Source:RGD Symbol;Acc:70332]"
"ENSRNOG00000020636","1",84558166,84580616,22451,"-",1473,"ENSRNOG00000020636","Spint2","292770",15.614583715326,0.592163256955832,4.2654046085559,5.03451287045562,0.000140882259514563,0.0426402100235543,1.19703189380073,"Animal Mammary Neoplasms; Prenatal Injuries; Experimental Mammary Neoplasms; primary biliary cholangitis; Carcinoma; Biliary Atresia; congenital secretory sodium diarrhea 3; Cholestasis; placenta disease; neural tube defect","serine peptidase inhibitor, Kunitz type, 2 [Source:RGD Symbol;Acc:735123]"
"ENSRNOG00000018086","1",205498084,205517450,19367,"+",3953,"ENSRNOG00000018086","Slc22a8","83500",3.06528807871179,0.679256644416054,3.58838626311815,4.77417218734452,0.000235234036365447,0.0473528949348661,0.747370405692791,"human influenza; Chemical and Drug Induced Liver Injury; Liver Cirrhosis; fatty liver disease; familial temporal lobe epilepsy 8; Experimental Liver Cirrhosis; Intellectual Disability","solute carrier family 22 member 8 [Source:RGD Symbol;Acc:632286]"
"ENSRNOG00000017980","1",181918183,181955732,37550,"+",4606,"ENSRNOG00000017980","Itgal","308995",0.54608299133273,1.18780036750087,1.0796619299884,4.88566058554323,0.00018868613026659,0.0454233518075035,0.419244820011314,"inflammatory bowel disease; acute promyelocytic leukemia; Inflammation; Experimental Liver Cirrhosis; Behcet's disease; Nasal Polyps; Nephritis","integrin subunit alpha L [Source:RGD Symbol;Acc:631424]"
"ENSRNOG00000018237","1",201321672,201340226,18555,"-",833,"ENSRNOG00000018237","Gstp1","24426",57.823133256209,0.531713008747719,5.37908800251312,6.14707650052493,1.73522188268896e-05,0.0270123308808186,3.16353962278475,"pancreatic cancer; acute kidney failure; familial temporal lobe epilepsy 8; Acute Coronary Syndrome; Chronic Cerebral Hypoperfusion; Stomach Neoplasms; Autistic Disorder; Osteosarcoma; Chromosome Aberrations; myelodysplastic syndrome; Colorectal Neoplasms; Plasmodium falciparum malaria; renal cell carcinoma; Laryngeal Neoplasms; testicular cancer; Gallbladder Neoplasms; Chemotherapy-Induced Febrile Neutropenia; Respiratory Sounds; Myocardial Ischemia; drug allergy; Parkinson's disease; Senile Cataract; prostatic hypertrophy; Non-alcoholic Fatty Liver Disease; Hodgkin's lymphoma; acute myeloid leukemia; lymphoid leukemia; lung disease; hematopoietic system disease; chronic obstructive pulmonary disease; peripheral nervous system disease; pancreatic ductal carcinoma; kidney disease; Alzheimer's Disease; Carcinoma; bone marrow disease; Graves Disease; chronic myeloid leukemia; ovarian cancer; Cholangiocarcinoma; Chemical and Drug Induced Liver Injury; asthma; Experimental Seizures; amyotrophic lateral sclerosis; hypertension; Prostatic Neoplasms; Bronchopulmonary Dysplasia; substance-induced psychosis; melanoma; Oral Squamous Cell Carcinoma; Meningitis; Peritonitis; contact dermatitis; breast cancer; Cystic Fibrosis; type 2 diabetes mellitus; Ureteral Calculi; pre-malignant neoplasm; prostate cancer; Kidney Calculi; acute lymphoblastic leukemia; Necrosis; Experimental Liver Neoplasms; colorectal adenoma; malignant astrocytoma; esophagus squamous cell carcinoma; toxic encephalopathy; sarcoma; late onset Parkinson's disease; Focal Nodular Hyperplasia; Reperfusion Injury; Intellectual Disability; allergic disease; myeloid leukemia; liver disease; vestibular disease; Kuhnt-Junius degeneration; Conjunctivochalasis; carotid artery disease; hepatocellular carcinoma; Pulmonary Fibrosis; bronchiolo-alveolar adenocarcinoma; prostate carcinoma in situ; diffuse large B-cell lymphoma; urinary bladder cancer; squamous cell carcinoma; Essential Tremor; Cholangiofibrosis; Disease Progression; Drug-induced leukopenia; respiratory system disease; Cholestasis; amphetamine abuse; Osteoporosis; atopic dermatitis; clear cell renal cell carcinoma; Drug-induced Neutropenia; mitochondrial metabolism disease; Breast Neoplasms; Airway Obstruction; lung non-small cell carcinoma; psoriasis; bronchus carcinoma; movement disease; Multiple Myeloma; Lung Neoplasms; Cough; Pre-Eclampsia; Pulmonary Emphysema; Multiple Sclerosis; Pseudomonas Infections; perennial allergic rhinitis; high grade glioma","glutathione S-transferase pi 1 [Source:RGD Symbol;Acc:2758]"
