"","seqnames","start","end","width","strand","Length","ensemblID","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B","associated_phenotypes","gene_description"
"ENSRNOG00000019321","8",121153500,121160084,6585,"-",844,"ENSRNOG00000019321","Cck","25298",74.019736882005,-1.09069019389291,6.22725052741001,-10.1742088803934,7.17015326445291e-08,0.000878359743163709,8.32260358546497,"Neurobehavioral Manifestations; morbid obesity; Hallucinations; Unconsciousness; Experimental Diabetes Mellitus; Bulimia; congenital muscular dystrophy-dystroglycanopathy type A8; gastric ulcer; toxic encephalopathy; Catalepsy; Fever; Pain; liver disease; Anorexia; Gallstones; cataract; Drug-Induced Dyskinesia; pancreatitis; visual epilepsy; Metabolic Syndrome; gastrointestinal system disease; Inflammation; Parkinson's disease; Hyperalgesia; Hyperkinesis","cholecystokinin [Source:RGD Symbol;Acc:2288]"
"ENSRNOG00000015691","2",193185275,193200642,15368,"+",3671,"ENSRNOG00000015691","Inka2","310764",17.8971510820223,-0.624656311465948,6.8512619764913,-9.86617955592404,1.05142415987995e-07,0.000878359743163709,8.0426342073433,"","inka box actin regulator 2 [Source:RGD Symbol;Acc:1306526]"
"ENSRNOG00000027392","3",9070185,9126946,56762,"-",9065,"ENSRNOG00000027392","Ccdc187","499759",2.4728255769421,1.02807288620012,3.95048757314802,8.35721053336324,7.89273723104028e-07,0.00219786422760368,5.8814698451808,"","coiled-coil domain containing 187 [Source:RGD Symbol;Acc:1565512]"
"ENSRNOG00000008615","7",85900453,85933429,32977,"+",2776,"ENSRNOG00000008615","Mal2","362911",42.0404458036755,-0.676560959305155,7.4769474238423,-8.83695763567265,4.04851471141979e-07,0.00219786422760368,6.81711631374426,"hereditary multiple exostoses; trichorhinophalangeal syndrome type I; trichorhinophalangeal syndrome type III","mal, T-cell differentiation protein 2 [Source:RGD Symbol;Acc:735066]"
"ENSRNOG00000008656","4",89696420,89796262,99843,"-",2225,"ENSRNOG00000008656","Snca","29219",69.5974424556722,-0.593315434610099,7.9421906161908,-8.45376260939599,6.8858635896898e-07,0.00219786422760368,6.32442023811631,"secondary Parkinson disease; Animal Lameness; Pantothenate Kinase-Associated Neurodegeneration; Parkinsonism; vascular dementia; Pick's disease; neurodegenerative disease; Gaucher's disease; Parkinson's disease 1; Weight Loss; Alzheimer's Disease; Multiple System Atrophy; Wilson disease; Animal Disease Models; Lewy body dementia; Brain Injuries; Manganese Poisoning; Parkinson's disease 4; Neurobehavioral Manifestations; mental depression; GM2 gangliosidosis; Bipolar Disorder; amphetamine abuse; autosomal dominant polycystic kidney disease; myeloid leukemia; alcohol use disorder; Cocaine-Related Disorders; Nerve Degeneration; Synucleinopathy; Parkinson's disease; substance-induced psychosis; Neurilemmoma; Schizophrenia; Ataxia; Creutzfeldt-Jakob disease","synuclein alpha [Source:RGD Symbol;Acc:3729]"
"ENSRNOG00000013783","5",154160946,154176980,16035,"-",2107,"ENSRNOG00000013783","Efhd2","298609",44.6533895693621,-0.529698508328997,6.58805909070044,-8.39757071084006,7.45409594268394e-07,0.00219786422760368,6.23172009018019,"Binge Drinking","EF-hand domain family, member D2 [Source:RGD Symbol;Acc:1307585]"
"ENSRNOG00000068332","17",21500979,21504665,3687,"+",3687,"ENSRNOG00000068332",NA,"NULL",26.7742925055602,-0.732430854460579,7.30883396401748,-8.04678657970937,1.23314977338226e-06,0.00292842052082268,5.76881857752558,"",NA
"ENSRNOG00000003829","18",39462765,39531622,68858,"+",2680,"ENSRNOG00000003829","Ap3s1","302290",21.5622227922615,-0.479624523391899,5.6741740741419,-7.95889021386976,1.40216448207933e-06,0.00292842052082268,5.61439144205257,"Autistic Disorder; Experimental Liver Cirrhosis; Hereditary Neoplastic Syndromes; Neurodevelopmental Disorders; familial adenomatous polyposis 1","adaptor related protein complex 3 subunit sigma 1 [Source:RGD Symbol;Acc:1311115]"
"ENSRNOG00000064615","13",99213203,99361777,148575,"+",4366,"ENSRNOG00000064615",NA,"NULL",2.02865450681726,1.08996515438905,2.35415648197601,7.30767814949257,3.7419208178444e-06,0.00320767436674485,3.87920789901562,"",NA
"ENSRNOG00000010834","7",114944764,115011787,67024,"+",3189,"ENSRNOG00000010834","Mpped1","362971",21.6202143376747,-0.735677816844678,6.97319177745132,-7.56363495949384,2.52791675074662e-06,0.00320767436674485,5.08457685950621,"Phelan-McDermid syndrome; Intellectual Disability","metallophosphoesterase domain containing 1 [Source:RGD Symbol;Acc:1308244]"
