"","seqnames","start","end","width","strand","Length","ensemblID","Symbol","EntrezID","meanExprs","logFC","AveExpr","t","P.Value","adj.P.Val","B","associated_phenotypes","gene_description"
"ENSRNOG00000004730","3",102742900,102949696,206797,"-",9254,"ENSRNOG00000004730","Meis2","311311",7.12874755268643,-4.11876296847451,1.58072584169191,-10.2699793012523,4.95666530002824e-07,0.00306260595611534,3.090919806099,"colorectal cancer; genetic disease; Bloom Syndrome; cleft palate, cardiac defects, and intellectual disabillity","Meis homeobox 2 [Source:RGD Symbol;Acc:1305198]"
"ENSRNOG00000016346","16",5769215,5799352,30138,"-",9002,"ENSRNOG00000016346","Prkcd","170538",14.2185460735636,1.05659280093453,8.09162977595441,10.5696915009613,3.69526165976356e-07,0.00306260595611534,7.11976169240223,"Myocardial Reperfusion Injury; toxic encephalopathy; visual epilepsy; portal hypertension; Cardiomegaly; Right Ventricular Hypertrophy; obesity; Left Ventricular Hypertrophy; restrictive cardiomyopathy; hyperinsulinism; Experimental Diabetes Mellitus; Experimental Liver Cirrhosis; Parkinsonism; Myocardial Ischemia; Fever; Intestinal Neoplasms; Brain Ischemia; Burns; Hypothermia; muscular disease; Insulin Resistance; Stroke; fatty liver disease; hypertension; Non-alcoholic Fatty Liver Disease; Chemical and Drug Induced Liver Injury; autoimmune lymphoproliferative syndrome type 3","protein kinase C, delta [Source:RGD Symbol;Acc:67383]"
"ENSRNOG00000004089","7",86202350,86324827,122478,"-",3535,"ENSRNOG00000004089","Enpp2","84050",182.390015217202,-0.935429451050275,8.09124069121447,-10.1656991976209,5.49905306939552e-07,0.00306260595611534,6.72916021136523,"Hyperalgesia; hereditary multiple exostoses; Birth Weight; trichorhinophalangeal syndrome type I; Chemical and Drug Induced Liver Injury; Experimental Diabetes Mellitus; trichorhinophalangeal syndrome type III; Hepatitis; Liver Injury; Neoplasm Metastasis; Thyroid Neoplasms; Proliferative Diabetic Retinopathy; Cadmium Poisoning; Experimental Liver Cirrhosis","ectonucleotide pyrophosphatase/phosphodiesterase 2 [Source:RGD Symbol;Acc:69298]"
"ENSRNOG00000064734","3",107572184,107574858,2675,"+",1801,"ENSRNOG00000064734",NA,"NULL",0.632019579917221,4.85570176609494,0.519436814468365,9.52371874847401,1.0630244699567e-06,0.00444025321100915,1.57890996740831,"",NA
"ENSRNOG00000014867","2",211216783,211371267,154485,"-",5862,"ENSRNOG00000014867","Synpo2","499702",8.8779659312157,0.862023135014181,6.84328508122072,7.89223484864648,6.74222956157881e-06,0.0225298343029718,4.25336773620421,"Neurodevelopmental Disorders","synaptopodin 2 [Source:RGD Symbol;Acc:1564779]"
"ENSRNOG00000005659","10",53745142,53750837,5696,"+",1926,"ENSRNOG00000005659","Aurkb","114592",4.4184720429043,2.84181494716697,3.11108773727793,7.18335371776173,1.64379833753269e-05,0.0241750622301745,2.93477350527704,"Common Variable Immunodeficiency; Dyskeratosis Congenita; endometrial carcinoma; hepatocellular carcinoma; prostate carcinoma in situ; NATURAL KILLER CELL ENTEROPATHY; Prostatic Neoplasms; IgA glomerulonephritis; Stomach Neoplasms; Diamond-Blackfan Anemia; Li-Fraumeni Syndrome","aurora kinase B [Source:RGD Symbol;Acc:621625]"
"ENSRNOG00000006553","5",98687410,99079426,392017,"-",4287,"ENSRNOG00000006553","Bnc2","298189",0.54338184050981,-2.47097131352251,1.03041541342429,-6.53715558055551,3.9066715358793e-05,0.0241750622301745,1.05576824375725,"Craniofacial Abnormalities; Hypotension; Ovarian Neoplasms; Congenital Lower Urinary Tract Obstruction; Cleft Palate; Amelogenesis Imperfecta","basonuclin 2 [Source:RGD Symbol;Acc:1310694]"
"ENSRNOG00000034102","7",9346777,9355196,8420,"-",2151,"ENSRNOG00000034102","Plk5","314627",2.6123814037455,-1.69433901990085,2.73246514208667,-7.01569379117235,2.04737077556195e-05,0.0241750622301745,2.72305681978576,"Neurodevelopmental Disorders","polo-like kinase 5 [Source:RGD Symbol;Acc:1305038]"
"ENSRNOG00000027233","X",107939131,108230991,291861,"-",6043,"ENSRNOG00000027233","Trpc5","140933",8.62485568572961,-1.39950431691279,3.24602299823605,-7.14234801609296,1.73392218690354e-05,0.0241750622301745,3.09126174987192,"Schizophrenia; Albuminuria; syndromic X-linked intellectual disability Lubs type; hypertension; Autistic Disorder; Intellectual Disability; dilated cardiomyopathy 1H","transient receptor potential cation channel, subfamily C, member 5 [Source:MGI Symbol;Acc:MGI:109524]"
"ENSRNOG00000066325","13",11864166,12864242,1000077,"-",5073,"ENSRNOG00000066325","Cntnap5b","301650",4.82396409961235,-1.26356540784589,4.19850889391798,-6.95047755236422,2.23199898830579e-05,0.0241750622301745,3.08484594946476,"","similar to contactin associated protein-like 5 isoform 1 [Source:RGD Symbol;Acc:1592077]"
"ENSRNOG00000004109","7",71678880,72116205,437326,"+",4985,"ENSRNOG00000004109","Zfpm2","314930",4.38831090731205,-1.12270278603493,3.68306025560823,-6.59093961456141,3.62767800788096e-05,0.0241750622301745,2.5730684056417,"congenital diaphragmatic hernia; 46,XY Sex Reversal 9; Diaphragmatic Hernia 3; Diaphragmatic Hernia; myelodysplastic syndrome; Double Outlet Right Ventricle; Tetralogy of Fallot; Cohen Syndrome; tricuspid atresia; 46,XY sex reversal 3","zinc finger protein, multitype 2 [Source:RGD Symbol;Acc:1306021]"
